fips	year	pm25
54055	2005	11.3822554
54055	2006	9.365474022
54055	2007	10.45736846
54055	2008	8.046887063
54055	2009	6.289317956
54055	2010	7.462241327
54055	2011	6.970428531
54055	2012	6.731963941
54055	2013	5.920494135
54055	2014	5.24569557
54055	2015	4.708346903
54055	2016	4.596052903
54109	2000	12.61102747
54109	2001	12.29228339
54109	2002	10.09161261
54109	2003	10.25719149
54109	2004	11.64822739
54109	2005	12.14768888
54109	2006	10.34558963
54109	2007	11.20650861
54109	2008	8.603902809
54109	2009	6.935241373
54109	2010	8.355053817
54109	2011	7.709513747
54109	2012	7.77095042
54109	2013	6.515781961
54109	2014	5.935973782
54109	2015	5.611049502
54109	2016	5.576415629
54047	2000	13.15711913
54047	2001	12.40288416
54047	2002	10.31799253
54047	2003	10.68928008
54047	2004	11.87994344
54047	2005	12.51409685
54047	2006	10.94544497
54047	2007	11.86254059
54047	2008	9.151712011
54047	2009	7.44201134
54047	2010	8.704689571
54047	2011	8.178090719
54047	2012	8.328177392
54047	2013	6.755442898
54047	2014	6.18972516
54047	2015	5.743525239
54047	2016	5.84098325
54059	2000	13.96851437
54059	2001	13.58169834
54059	2002	11.41651681
54059	2003	11.1486688
54059	2004	11.94415865
54059	2005	12.93163248
54059	2006	11.43581052
54059	2007	12.05688286
54059	2008	9.497236774
54059	2009	7.789588037
54059	2010	9.15874959
54059	2011	8.917120371
54059	2012	8.867661948
54059	2013	7.23992367
54059	2014	7.079007864
54059	2015	6.575522698
54059	2016	6.678328464
54025	2000	11.21535354
54025	2001	10.54901614
54025	2002	8.847802925
54025	2003	9.274301674
54025	2004	10.07585658
54025	2005	10.88809992
54025	2006	8.99214787
54025	2007	10.39149043
54025	2008	7.617914225
54025	2009	5.91357386
54025	2010	6.990273373
54025	2011	6.89829421
54025	2012	6.365097516
54025	2013	5.859333176
54025	2014	5.308600521
54025	2015	4.800335158
54025	2016	4.142030957
54089	2000	12.6616209
54089	2001	11.6067182
54089	2002	9.594913532
54089	2003	10.06047
54089	2004	11.31805433
54089	2005	12.0369432
54089	2006	10.17811967
54089	2007	11.3059787
54089	2008	8.407961233
54089	2009	6.86541324
54089	2010	7.698154205
54089	2011	7.855959262
54089	2012	7.535531243
54089	2013	6.626749891
54089	2014	6.21421393
54089	2015	5.400503677
54089	2016	5.120405795
54075	2000	7.892814291
54075	2001	8.66320656
54075	2002	7.38955437
54075	2003	7.562221398
54075	2004	8.181136821
54075	2005	9.381945603
54075	2006	7.271517791
54075	2007	8.593813814
54075	2008	6.525504222
54075	2009	4.879497401
54075	2010	6.161516095
54075	2011	6.157950043
54075	2012	5.235573899
54075	2013	4.813817882
54075	2014	4.212054441
54075	2015	4.245405069
54075	2016	3.411759046
54063	2000	11.36048034
54063	2001	10.74950103
54063	2002	9.00270055
54063	2003	9.57726938
54063	2004	10.54448145
54063	2005	11.49698877
54063	2006	9.293145963
54063	2007	10.70043142
54063	2008	8.066592014
54063	2009	6.372410473
54063	2010	7.251122209
54063	2011	7.172896134
54063	2012	6.759888537
54063	2013	6.006222824
54063	2014	5.648983452
54063	2015	4.789755242
54063	2016	4.583732498
54019	2000	13.00038553
54019	2001	12.65244436
54019	2002	10.2034107
54019	2003	10.80650001
54019	2004	11.61151583
54019	2005	12.81350873
54019	2006	10.44918398
54019	2007	11.38748928
54019	2008	8.888602787
54019	2009	7.172215037
54019	2010	8.36900369
54019	2011	8.2329046
54019	2012	7.742399356
54019	2013	6.790991034
54019	2014	6.504056792
54019	2015	6.175109912
54019	2016	5.726752017
54039	2000	14.59015258
54039	2001	14.84640129
54039	2002	12.17316099
54039	2003	12.57853419
54039	2004	12.6629372
54039	2005	14.26901163
54039	2006	12.26484939
54039	2007	12.93422715
54039	2008	10.74985186
54039	2009	8.459984867
54039	2010	10.1985965
54039	2011	9.602193863
54039	2012	9.151098823
54039	2013	8.062703594
54039	2014	8.033791913
54039	2015	7.769073283
54039	2016	7.20001569
54087	2000	13.37406874
54087	2001	13.69356535
54087	2002	11.25895778
54087	2003	11.65051427
54087	2004	11.55706907
54087	2005	12.69381917
54087	2006	10.62712364
54087	2007	11.95951209
54087	2008	9.904934243
54087	2009	7.583456226
54087	2010	9.135409334
54087	2011	8.688564826
54087	2012	8.169041375
54087	2013	7.318278252
54087	2014	7.187176642
54087	2015	7.117603936
54087	2016	6.347432363
54081	2000	11.30411475
54081	2001	11.57725976
54081	2002	9.421569721
54081	2003	9.458721063
54081	2004	10.83098312
54081	2005	11.49099078
54081	2006	9.463832857
54081	2007	10.27623023
54081	2008	7.922579481
54081	2009	6.068900179
54081	2010	7.442833745
54081	2011	7.110349462
54081	2012	6.925606307
54081	2013	5.787412276
54081	2014	5.322560196
54081	2015	5.029595099
54081	2016	4.804958251
54005	2000	13.05488315
54005	2001	13.29632239
54005	2002	11.10201983
54005	2003	11.07709239
54005	2004	11.58947074
54005	2005	12.93138109
54005	2006	11.13820304
54005	2007	11.75708785
54005	2008	9.364432002
54005	2009	7.163522949
54005	2010	8.954406302
54005	2011	8.629927959
54005	2012	8.136016137
54005	2013	6.900972
54005	2014	6.777052928
54005	2015	6.556907949
54005	2016	6.311454825
54079	2000	13.23932248
54079	2001	14.35950014
54079	2002	11.95002911
54079	2003	11.9236475
54079	2004	11.94900127
54079	2005	13.49469985
54079	2006	11.42194028
54079	2007	12.17462457
54079	2008	10.17608323
54079	2009	7.73546041
54079	2010	9.603243267
54079	2011	9.265336517
54079	2012	8.423859895
54079	2013	7.834436953
54079	2014	7.489454203
54079	2015	7.576240273
54079	2016	6.825572641
54015	2000	13.63724229
54015	2001	13.18979324
54015	2002	10.85789118
54015	2003	11.53859252
54015	2004	11.7329917
54015	2005	12.93107026
54015	2006	10.80107528
54015	2007	12.17447319
54015	2008	9.817960003
54015	2009	7.533540464
54015	2010	9.049864712
54015	2011	8.721314849
54015	2012	8.215562345
54015	2013	7.328964166
54015	2014	7.205365912
54015	2015	6.963227604
54015	2016	6.146862604
54045	2000	13.19348263
54045	2001	13.27528775
54045	2002	11.12822138
54045	2003	10.76332534
54045	2004	11.57683924
54045	2005	12.47834123
54045	2006	11.17235649
54045	2007	11.66447978
54045	2008	9.166229036
54045	2009	7.3212994
54045	2010	8.917374097
54045	2011	8.648107403
54045	2012	8.169334033
54045	2013	6.820617329
54045	2014	6.765790714
54045	2015	6.257309362
54045	2016	6.345532728
54067	2000	11.80326094
54067	2001	11.41177011
54067	2002	9.373435736
54067	2003	9.997952056
54067	2004	10.9411812
54067	2005	11.73197997
54067	2006	9.45870066
54067	2007	10.87360245
54067	2008	8.354283581
54067	2009	6.519216753
54067	2010	7.746953524
54067	2011	7.765504878
54067	2012	7.046322355
54067	2013	6.318843071
54067	2014	5.958162431
54067	2015	5.612452746
54067	2016	4.846584239
54053	2000	13.16889523
54053	2001	13.95053832
54053	2002	12.38559473
54053	2003	12.28806169
54053	2004	12.00362371
54053	2005	13.7672438
54053	2006	11.17730139
54053	2007	12.30025581
54053	2008	10.46343543
54053	2009	8.050285219
54053	2010	9.978197617
54053	2011	9.382490793
54053	2012	8.302764595
54053	2013	7.878598588
54053	2014	7.710283429
54053	2015	7.78425646
54053	2016	6.911421646
54035	2000	12.9542366
54035	2001	13.69626403
54035	2002	11.82252518
54035	2003	11.75512387
54035	2004	11.73827929
54035	2005	13.24659622
54035	2006	10.9977159
54035	2007	12.36682879
54035	2008	10.26270426
54035	2009	7.851869754
54035	2010	9.627416762
54035	2011	9.081666693
54035	2012	8.031590768
54035	2013	7.640620632
54035	2014	7.568004359
54035	2015	7.46690723
54035	2016	6.678685141
54013	2000	13.69310623
54013	2001	13.45829381
54013	2002	11.16929993
54013	2003	11.6729665
54013	2004	11.50277566
54013	2005	12.8364065
54013	2006	10.55419717
54013	2007	12.20571835
54013	2008	9.859666773
54013	2009	7.660487619
54013	2010	9.178171315
54013	2011	8.582698807
54013	2012	8.004013271
54013	2013	7.406348006
54013	2014	7.263854378
54013	2015	7.186245209
54013	2016	6.360940128
54021	2000	14.01367667
54021	2001	13.69202985
54021	2002	11.29689296
54021	2003	11.76211679
54021	2004	11.78398073
54021	2005	12.97548218
54021	2006	10.78646079
54021	2007	12.38659176
54021	2008	10.08335884
54021	2009	7.836909962
54021	2010	9.360892003
54021	2011	8.75998366
54021	2012	8.11974039
54021	2013	7.674725867
54021	2014	7.370370266
54021	2015	7.145486031
54021	2016	6.207241483
54003	2000	14.05001094
54003	2001	13.07516919
54003	2002	12.1159385
54003	2003	12.67459497
54003	2004	13.00586452
54003	2005	13.28642298
54003	2006	10.81070308
54003	2007	12.22467559
54003	2008	10.80037611
54003	2009	9.133297267
54003	2010	10.40299698
54003	2011	10.04366837
54003	2012	9.907920146
54003	2013	9.01076521
54003	2014	8.735198148
54003	2015	8.493929708
54003	2016	7.685337051
54037	2000	13.79889437
54037	2001	13.37571879
54037	2002	12.37447555
54037	2003	12.65464976
54037	2004	13.03040871
54037	2005	13.35248624
54037	2006	10.89780861
54037	2007	12.13388289
54037	2008	10.81309886
54037	2009	9.214657664
54037	2010	10.3520689
54037	2011	10.26744966
54037	2012	9.975670623
54037	2013	8.782289048
54037	2014	8.888749623
54037	2015	8.658092318
54037	2016	7.738669148
54065	2000	13.14282656
54065	2001	12.31575281
54065	2002	11.37733588
54065	2003	11.96249678
54065	2004	12.1862401
54065	2005	12.55144062
54065	2006	9.815543331
54065	2007	10.89768794
54065	2008	10.03031498
54065	2009	8.356528056
54065	2010	9.545342377
54065	2011	9.149942345
54065	2012	9.075736442
54065	2013	8.519338992
54065	2014	7.639906425
54065	2015	7.381637643
54065	2016	6.598748719
54027	2000	12.33518651
54027	2001	12.10600879
54027	2002	10.55123244
54027	2003	11.00649705
54027	2004	11.44245715
54027	2005	12.16566689
54027	2006	9.686686176
54027	2007	10.83811585
54027	2008	9.590723197
54027	2009	7.956929854
54027	2010	9.06227226
54027	2011	8.912490674
54027	2012	8.304330221
54027	2013	7.668631976
54027	2014	6.896684798
54027	2015	6.950790159
54027	2016	6.055098173
54043	2000	13.25465417
54043	2001	13.72290943
54043	2002	11.72890435
54043	2003	11.4237728
54043	2004	11.57036869
54043	2005	13.10079278
54043	2006	11.38595896
54043	2007	11.73948544
54043	2008	9.717214369
54043	2009	7.41012653
54043	2010	9.169863908
54043	2011	8.831634909
54043	2012	8.141544408
54043	2013	7.320821358
54043	2014	7.222684725
54043	2015	6.948113656
54043	2016	6.658688624
54011	2000	14.76147866
54011	2001	15.43209969
54011	2002	13.47261316
54011	2003	13.12139731
54011	2004	12.73155283
54011	2005	14.54075256
54011	2006	12.38609578
54011	2007	13.31487222
54011	2008	11.13623707
54011	2009	8.959905102
54011	2010	10.81533309
54011	2011	10.05982782
54011	2012	9.137443659
54011	2013	8.372465906
54011	2014	8.232655816
54011	2015	8.218946695
54011	2016	7.626121249
54099	2000	13.52304916
54099	2001	14.34869667
54099	2002	12.37120147
54099	2003	12.14083335
54099	2004	11.69876021
54099	2005	13.55519124
54099	2006	11.76502024
54099	2007	12.48105878
54099	2008	10.02237363
54099	2009	8.036432735
54099	2010	9.880565048
54099	2011	9.210609352
54099	2012	8.674188262
54099	2013	7.683957753
54099	2014	7.725520633
54099	2015	7.410898811
54099	2016	7.12921758
54069	2000	14.63266095
54069	2001	14.42689796
54069	2002	12.80539492
54069	2003	13.94873927
54069	2004	13.69555927
54069	2005	13.53290076
54069	2006	11.83876191
54069	2007	12.99761182
54069	2008	11.07865963
54069	2009	9.779170515
54069	2010	11.30907833
54069	2011	9.042746188
54069	2012	8.402483252
54069	2013	9.103644286
54069	2014	8.748448974
54069	2015	8.553534976
54069	2016	7.411330089
54009	2000	16.15175658
54009	2001	16.0551531
54009	2002	14.44566105
54009	2003	15.34267257
54009	2004	14.66816118
54009	2005	15.05867041
54009	2006	13.33690459
54009	2007	14.40942399
54009	2008	12.35221263
54009	2009	11.4337693
54009	2010	12.08778508
54009	2011	9.996937583
54009	2012	9.471920996
54009	2013	10.02105926
54009	2014	9.754514288
54009	2015	9.879717607
54009	2016	8.74610627
54051	2000	14.68261146
54051	2001	14.00441042
54051	2002	12.86068536
54051	2003	13.73617896
54051	2004	13.39416655
54051	2005	13.42113383
54051	2006	11.88280988
54051	2007	12.77759888
54051	2008	11.17273552
54051	2009	9.51365842
54051	2010	11.32589612
54051	2011	9.486689387
54051	2012	8.641433739
54051	2013	9.086093493
54051	2014	8.636022905
54051	2015	8.692247921
54051	2016	7.235762409
54029	2000	15.40653082
54029	2001	15.64285066
54029	2002	14.48473196
54029	2003	14.93297508
54029	2004	14.25527819
54029	2005	14.98222295
54029	2006	12.88958753
54029	2007	14.38282243
54029	2008	12.26058307
54029	2009	11.48857123
54029	2010	11.80676047
54029	2011	10.0988601
54029	2012	9.221847129
54029	2013	10.07718338
54029	2014	10.01446047
54029	2015	9.663980982
54029	2016	8.57970547
54103	2000	13.70359191
54103	2001	13.33106467
54103	2002	11.84827548
54103	2003	12.13953062
54103	2004	12.67589772
54103	2005	12.81546672
54103	2006	11.17018401
54103	2007	12.02475712
54103	2008	10.32621322
54103	2009	8.441562208
54103	2010	10.04465662
54103	2011	9.234975583
54103	2012	8.090066522
54103	2013	8.220967857
54103	2014	7.445187614
54103	2015	7.754657358
54103	2016	6.518873864
54107	2000	14.03793882
54107	2001	13.6365855
54107	2002	12.43214419
54107	2003	12.65102838
54107	2004	12.72744627
54107	2005	14.06198092
54107	2006	12.00623063
54107	2007	13.01654524
54107	2008	11.06203783
54107	2009	8.71552705
54107	2010	10.98360785
54107	2011	9.838476672
54107	2012	8.763910209
54107	2013	8.538160227
54107	2014	8.368287238
54107	2015	7.94084909
54107	2016	6.987702027
54073	2000	13.62842746
54073	2001	13.21229836
54073	2002	12.09233874
54073	2003	12.14133063
54073	2004	12.35463707
54073	2005	13.14354836
54073	2006	11.3046371
54073	2007	12.2320565
54073	2008	10.36915318
54073	2009	8.230443643
54073	2010	10.26706355
54073	2011	9.251984161
54073	2012	8.239087346
54073	2013	8.16848417
54073	2014	7.966617635
54073	2015	7.533764345
54073	2016	6.456578254
54105	2000	12.77327523
54105	2001	12.75611211
54105	2002	11.02935658
54105	2003	11.47583639
